Autor des Briefes (Absender)	GND-ID, http://d-nb.info/gnd/	2. Autor des Briefes (Absender)	GND-ID, http://d-nb.info/gnd/	Fingierter Brieftitel	Absenderort	Gaz-ID AO	Wann der Brief verfasst wurde	Umfang des Briefes	Empfänger des Briefes	GND-ID, http://d-nb.info/gnd/	Weiterer Empfänger des Briefes	GND-ID, http://d-nb.info/gnd/	Weiterer Empfänger des Briefes	GND-ID, http://d-nb.info/gnd/	Empfängerort	ga-ID EO	Briefzusammenhang
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Neapel	2338719	1841-07-30	2 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Neapel	2338719	1841-07-15	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Neapel	2338719	1841-06-23	2 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Neapel	2338719	1841-06-18	2 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Neapel	2338719	1841-06-01	4 Seiten.	Braun, Emil,	116415738					Paris	2081915	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Florenz	2359590	1842-05-14	2 Seiten.	Braun, Emil,	116415738					Paris	2081915	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Olevano	2347870	1841-05-11	4 Seiten.	Braun, Emil,	116415738					Paris	2081915	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1840-09-24	4 Seiten.	Braun, Emil,	116415738					Paris	2081915	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1840-09-08	4 Seiten.	Braun, Emil,	116415738					Paris	2081915	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1840-09-05	2 Seiten.	Braun, Emil,	116415738					Paris	2081915	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1840-09-03	4 Seiten.	Braun, Emil,	116415738					Paris	2081915	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1840-08-31	4 Seiten.	Braun, Emil,	116415738					Paris	2081915	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1840-08-28	4 Seiten.	Braun, Emil,	116415738					Paris	2081915	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1840-08-14	4 Seiten.	Braun, Emil,	116415738					Paris	2081915	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Rom		1839-07-03	4 Seiten.	Braun, Emil,	116415738					Paris	2081915	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Landkreis München		1842-11-12	2 Seiten.	Braun, Emil,	116415738					Venedig	2097525	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Mailand		1842-05-21	2 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Unbekannt.	Rom	2323295	1838-11-11	4 Seiten.	Unbekannt						Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Pietro Tessieri.	Rom	2323295	1839-07-12	4 Seiten.	Tessieri, Pietro						Venedig	2097525	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Angelo Mai.	Ohne Ort.			2 Seiten.	Mai, Angelo,						Venedig	2097525	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1842-01-08	2 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Ohne Ort.			2 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1841-11-20	2 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1841-10-02	4 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1841-06-05	2 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1840-06-27	4 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1840-03-19	4 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1840-01-07	4 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1839-12-07	4 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1839-12-05	4 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1839-10-27	2 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1839-09-19	4 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1839-07-09	4 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1839-01-17	4 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
